menu_id,menu_name,category,season,cooldown_days,is_active
M001,キャベツと豚バラのにんにくみそ鍋,鍋,冬,7,True
M002,赤缶スパイスカレー,主菜,通年,3,True
M003,豚肉とお豆のトマト煮込み,主菜,冬,10,True
M004,レタスしゃぶしゃぶ,鍋,冬,14,True
M005,たらの寄せ鍋,鍋,冬,10,True
M006,鶏の水炊き,鍋,冬,7,True
M007,基本のクリームシチュー,主菜,冬,7,True
M008,白菜スープ,汁物,冬,5,True
M009,鮭が美味しい石狩鍋,鍋,冬,14,True
M010,豚肉となすのみそカレー炒め,主菜,夏,7,True
M011,さつまいもと豚肉のバターじょうゆ焼き,主菜,秋,10,True
M012,白菜と豚バラのミルフィーユ鍋,鍋,冬,7,True
M013,手作りホワイトシチュー,主菜,冬,7,True
M014,鶏肉の甘酢炒め,主菜,通年,10,True
M015,鮭のホイル焼き,主菜,秋,14,True
M016,豚こまとなすのポン酢炒め,主菜,夏,7,True
M017,大根と豚バラのべっこう煮,主菜,冬,14,True
M018,豚肉とピーマンの青椒肉絲風,主菜,通年,10,True
M019,トマトと卵の中華炒め,副菜,夏,7,True
M020,ほうれん草とベーコンのソテー,副菜,通年,10,True
M021,タラと白菜のレンジ蒸し,主菜,冬,14,True
M022,基本の肉じゃが,主菜,通年,14,True
M023,ブロッコリーとエビの塩炒め,主菜,通年,10,True
